,bagni,locali,piano,prezzo(€),superficie
501,1,2,4,€ 195.000,74
502,1,1,1,€ 123.000,37
503,3+,5+,,€ 1.850.000,450
504,1,3,3,€ 365.000,80
505,1,3,1,€ 195.000,69
506,1,3,T,€ 279.000,90
507,3,4,1,€ 375.000,175
508,3,5,,€ 339.000,120
509,2,3,R,€ 310.000,100
510,1,1,1,€ 113.000,37
511,3,5+,,€ 535.000,270
512,2,4,T,€ 179.000,90
513,1,3,4,€ 870.000,88
514,1,2,1,€ 205.000,60
515,3+,5+,1,€ 1.090.000,200
516,3+,5+,,,1.324
517,1,2,1,€ 181.000,54
518,1,3,A,€ 435.000,70
519,1,2,1,€ 145.000,35
520,2,5+,T,€ 1.020.000,247
521,1,2,1,€ 148.000,39
522,2,4,3,€ 429.000,108
523,2,4,,€ 369.000,120
524,3,5+,3,€ 1.500.000,150
525,3,5+,5,€ 1.450.000,300
526,3+,5+,,,1.650
527,2,3,1,€ 238.000,67
528,2,3,1,€ 179.000,80
529,2,5,5,€ 490.000,160
530,3,5,4,€ 1.290.000,220
531,3,5+,4,€ 1.660.000,194
532,2,3,,€ 225.000,145
533,3+,5,3,€ 728.000,157
534,2,3,3,€ 374.000,91
535,1,3,T,€ 380.000,74
536,1,3,A,€ 240.000,105
537,3+,5+,,€ 650.000,1.000
538,2,3,1,€ 260.000,127
539,2,5+,3,€ 549.000,170
540,1,2,A,€ 189.000,50
541,1,2,4,€ 649.000,70
542,3,5+,4,€ 1.290.000,200
543,2,5,3,€ 630.000,167
544,3,5,2,€ 980.000,200
545,1,2,T,€ 199.000,50
546,2,5,1,€ 465.000,127
547,2,3,1,€ 249.000,140
548,2,3,T,€ 349.000,130
549,1,2,A,€ 260.000,70
550,2,3,1,€ 249.000,100
551,2,3,1,€ 175.000,75
552,3+,5+,,€ 345.000,265
553,1,2,3,€ 220.000,75
554,1,2,T,€ 165.000,45
555,1,2,1,€ 152.000,45
556,2,4,1,€ 890.000,155
557,1,3,2,€ 215.000,92
558,2,5,3,€ 360.000,171
559,1,2,T,€ 205.000,50
560,2,5,T,€ 395.000,120
561,3,5,1,€ 395.000,146
562,3,5,3,€ 850.000,287
563,1,2,T,€ 289.000,60
564,1,3,A,€ 249.000,87
565,1,1,5,€ 119.000,39
566,3,5,4,€ 1.150.000,195
567,3+,5+,A,€ 950.000,250
568,3,5+,A,€ 369.000,130
569,2,4,R,€ 540.000,150
570,1,3,T,€ 329.000,70
571,2,5+,3,€ 1.070.000,200
572,3+,5+,1,,543
573,1,2,T,€ 79.000,50
574,2,4,2,€ 249.000,115
575,2,3,1,€ 179.000,80
576,3+,5+,,,220
577,1,3,1,€ 210.000,65
578,2,4,4,€ 745.000,155
579,1,2,4,€ 180.000,65
580,1,3,1,€ 189.000,95
581,2,4,6,€ 270.000,115
582,2,5+,4,€ 1.090.000,197
583,1,2,R,€ 139.000,60
584,3+,5+,,€ 1.900.000,400
585,2,3,A,€ 285.000,100
586,3,5+,1,€ 760.000,165
587,1,3,4,€ 159.000,80
588,3,5+,,€ 569.000,221
589,2,5+,5,€ 380.000,100
590,2,4,2,€ 570.000,140
591,1,4,4,,130
592,1,2,2,€ 500,58
593,1,3,3,€ 269.000,110
594,,3-5,,€ 320.000,65
595,2,4,3,€ 990.000,187
596,2,4,T,€ 380.000,150
597,1,4,1,€ 235.000,116
598,2,3,T,€ 460.000,106
599,2,4,3,€ 490.000,140
600,1,2,1,€ 175.000,70
601,1,3,3,€ 198.000,89
602,1,4,5,€ 259.000,108
603,2,5+,1,€ 400.000,145
604,3,5,A,€ 509.000,216
605,1,3,2,€ 209.000,90
606,1,2,2,€ 85.000,45
607,2,5,,€ 1.180.000,170
608,2,4,1,€ 955.000,113
609,1,3,2,€ 239.000,93
610,1,3,3,€ 179.000,81
611,2,3,2,€ 255.000,95
612,1,4,2,€ 400.000,120
613,1,3,R,€ 205.000,90
614,1,4,1,€ 259.000,136
615,2,5+,2,€ 550.000,170
616,1,3,A,€ 200.000,100
617,2,3,A,€ 289.000,97
618,1,3,2,€ 349.000,80
619,1,2,2,€ 169.000,63
620,2,4,A,€ 1.500.000,118
621,3+,4,1,€ 310.000,90
622,2,4,2,€ 519.000,129
623,3,5+,A,€ 740.000,200
624,3,3,3,€ 670.000,131
625,1,5,1,€ 495.000,150
626,1,2,3,€ 239.000,60
627,2,3,,€ 265.000,145
628,2,5+,2,€ 2.350.000,271
629,3,5+,2,€ 950.000,190
630,2,3,1,€ 241.000,100
631,2,3,T,€ 180.000,72
632,1,2,T,€ 145.000,55
633,1,3,R,€ 335.000,80
634,2,4,,€ 299.000,135
635,2,5,1,€ 835.000,200
636,1,3,3,€ 249.000,69
637,2,3,2,€ 199.000,90
638,1,2,T,€ 112.000,75
639,1,2,1,€ 189.000,54
640,1,2,,€ 200.000,90
641,1,2,2,€ 245.000,54
642,3,5+,3,,470
643,1,3,2,€ 360.000,90
644,3+,5+,5,€ 1.950.000,260
645,2,3,T,€ 365.000,83
646,2,5,,€ 319.000,150
647,3,5+,1,,270
648,3,5,T,€ 1.250.000,245
649,1,3,2,€ 620.000,119
650,2,5+,,€ 449.000,180
651,3,5,,€ 440.000,190
652,3,5,,€ 420.000,160
653,1,3,2,€ 399.000,113
654,1,3,1,€ 420.000,108
655,2,3,5,€ 600.000,130
656,2,4,1,€ 369.000,150
657,2,3,4,€ 579.000,75
658,1,3,T,€ 280.000,65
659,3,5+,,€ 2.100.000,250
660,2,5+,1,€ 495.000,160
661,1,3,,€ 665.000,95
662,1,2,6,€ 199.000,68
663,1,3,1,€ 590.000,100
664,2,4,,€ 230.000,89
665,2,4,5,€ 680.000,108
666,1,3,,€ 780.000,100
667,1,4,R,€ 189.000,119
668,3+,5,R,€ 1.320.000,390
669,1,3,,€ 149.000,86
670,2,5,T,€ 785.000,100
671,3,5,2,€ 1.780.000,261
672,3,5+,A,€ 1.811.000,277
673,3+,5+,,€ 1.600.000,450
674,1,2,R,€ 155.000,70
675,2,2,,€ 238.000,80
676,1,3,S,€ 158.000,60
677,1,3,,€ 270.000,100
678,1,3,4,€ 370.000,106
679,2,4,T,€ 290.000,95
680,1,2,T,€ 195.000,70
681,3,5+,1,€ 890.000,200
682,2,5,4,€ 790.000,167
683,2,3,1,€ 696.000,84
684,2,3,T,€ 390.000,140
685,2,4,4,€ 370.000,100
686,1,2,2,€ 139.000,54
687,2,2,A,€ 167.000,55
688,1,3,2,€ 469.000,103
689,1,3,2,€ 353.800,85
690,3,4,4,€ 1.250.000,200
691,,1-3,,€ 140.000,41
692,3,5+,1,€ 810.000,191
693,1,3,5,€ 259.000,113
694,3+,5+,,€ 495.000,320
695,1,2,T,€ 185.000,45
696,3+,5+,A,,290
697,2,3,,€ 582.000,93
698,1,2,,€ 385.000,63
699,1,2,1,€ 330.000,80
700,2,4,,€ 678.000,110
701,1,3,3,€ 275.000,93
702,3+,5+,2,€ 1.950.000,360
703,3+,5+,,,400
704,1,4,5,€ 349.000,128
705,3+,5+,,€ 1.680.000,160
706,1,3,1,€ 260.000,80
707,2,3,,€ 220.000,150
708,2,4,T,€ 260.000,135
709,1,1,2,€ 210.000,43
710,3+,4,A,€ 2.190.000,280
711,2,3,,€ 316.000,74
712,1,2,S,€ 138.000,35
713,3,4,,€ 320.000,140
714,1,3,3,€ 215.000,95
715,2,3,6,€ 508.000,130
716,2,3,,€ 250.000,150
717,1,2,2,€ 215.000,55
718,2,5,2,€ 420.000,130
719,2,3,A,€ 420.000,100
720,3,5+,1,€ 980.000,250
721,1,4,,€ 210.000,115
722,2,3,1,€ 330.000,90
723,2,4,,€ 310.000,107
724,1,2,1,€ 145.000,70
725,2,5+,3,€ 1.380.000,200
726,2,5+,,€ 1.290.000,360
727,2,4,R,€ 245.000,100
728,,1,T,€ 29.000,22
729,3,5+,,€ 3.650.000,500
730,2,4,,€ 220.000,90
731,2,5,A,€ 695.000,150
732,2,3,1,€ 259.000,100
733,2,5,A,€ 740.000,145
734,1,1,,€ 276.000,48
735,1,3,A,€ 189.000,80
736,3,3,R,€ 480.000,141
737,2,4,3,€ 349.000,130
738,1,3,T,€ 310.000,70
739,3+,5+,,€ 1.090.000,400
740,1,3,4,€ 270.000,102
741,1,2,R,€ 149.000,52
742,2,4,3,€ 580.000,121
743,1,2,5,€ 245.000,70
