,bagni,locali,piano,prezzo(€),superficie
797,3,5+,T,€ 409.000,220
798,3+,5+,A,€ 499.000,160
799,1,2,T,€ 149.000,70
800,2,3,3,€ 499.000,125
801,3+,5+,,€ 1.150.000,500
802,2,3,R,€ 229.000,80
803,1,3,S,€ 210.000,79
804,2,4,1,€ 279.000,104
805,1,3,1,€ 229.000,54
806,2,4,1,€ 435.000,153
807,1,2,4,€ 140.000,66
808,,,,€ 21.000,15
809,2,3,2,€ 499.000,80
810,1,2,2,€ 429.000,64
811,1,2,2,€ 219.000,60
812,2,5,2,€ 695.000,182
813,3,5+,,€ 335.000,132
814,2,3,4,€ 480.000,103
815,2,4,5,€ 389.000,120
816,1,4,2,€ 350.000,100
817,2,3,R,€ 199.000,101
818,2,4,3,€ 398.000,149
819,1,2,T,€ 229.000,52
820,2,4,2,€ 485.000,118
821,1,2,,€ 560.000,60
822,3+,5+,3,€ 575.000,160
823,3,5,A,€ 690.000,184
824,2,4,1,€ 455.000,124
825,2,5,T,€ 880.000,250
826,2,4,T,€ 430.000,142
827,2,5+,3,€ 570.000,153
828,1,3,1,€ 179.000,75
829,3+,5+,,€ 875.000,260
830,2,4,2,€ 595.000,110
831,1,2,1,€ 210.000,66
832,2,3,S,€ 262.000,85
833,2,3,4,€ 208.000,98
834,2,4,1,€ 318.000,102
835,1,3,1,€ 148.000,90
836,3,5+,,€ 499.000,320
837,2,4,9,€ 375.000,115
838,,4,,€ 239.000,150
839,3,5+,,€ 490.000,225
840,2,4,1,€ 225.000,120
841,3+,5+,,€ 999.000,315
842,1,3,2,€ 295.000,85
843,2,3,T,€ 495.000,92
844,3+,5+,T,€ 840.000,250
845,2,3,8,€ 542.000,88
846,1,3,T,€ 260.000,107
847,2,5,2,€ 770.000,140
848,2,3,3,€ 269.000,104
849,2,3,,€ 179.000,100
850,1,3,A,€ 290.000,76
851,3+,5+,3,€ 980.000,300
852,3,5+,2,€ 725.000,180
853,1,3,T,€ 325.000,85
854,1,1,4,€ 149.000,40
855,2,5,2,€ 490.000,145
856,1,2,A,€ 234.000,70
857,1,2,2,€ 207.000,55
858,3,4,A,€ 750.000,225
859,1,2,T,€ 190.000,50
860,2,5,3,€ 475.000,120
861,1,3,1,€ 230.000,85
862,1,3,3,€ 285.000,90
863,1,2,7,€ 240.000,56
864,1,3,2,€ 430.000,96
865,2,5+,5,€ 650.000,190
866,3,5,2,€ 1.150.000,215
867,3,5,1,€ 645.000,173
868,,1-4,,€ 174.000,42
869,1,2,1,€ 179.000,65
870,1,3,5,€ 225.000,73
871,3+,5+,,€ 490.000,250
872,1,2,3,€ 400.000,53
873,1,2,4,€ 335.000,90
874,1,2,2,€ 164.000,60
875,1,2,1,€ 212.000,60
876,2,3,T,€ 295.000,167
877,1,2,R,€ 145.000,68
878,1,3,,€ 270.000,95
879,1,3,3,€ 115.000,45
880,2,5+,2,€ 1.070.000,200
881,2,4,2,€ 389.000,115
882,2,5,1,€ 380.000,140
883,2,4,3,€ 1.250.000,125
884,2,4,2,€ 780.000,155
885,2,5+,5,€ 1.590.000,200
886,2,4,1,€ 590.000,140
887,2,3,3,€ 200.000,110
888,1,4,T,€ 249.000,120
889,2,3,1,€ 595.000,95
890,1,4,T,€ 290.000,144
891,3,5+,6,€ 1.090.000,254
892,2,5+,T,€ 950.000,160
893,3,5,1,€ 780.000,155
894,1,3,5,€ 320.000,80
895,1,4,3,€ 219.000,70
896,3,4,2,€ 950.000,172
897,3,5+,1,€ 590.000,137
898,1,2,2,€ 125.000,55
899,1,1,4,€ 169.000,55
900,3+,5+,A,€ 2.900.000,340
901,1,4,1,€ 290.000,99
902,3,5+,A,€ 1.780.000,220
903,1,2,1,€ 219.000,60
904,1,2,1,€ 160.000,58
905,1,3,1,€ 155.000,75
906,3,4,1,€ 660.000,174
907,3,5+,6,€ 760.000,220
908,3,5,4,€ 650.000,206
909,2,4,3,€ 218.000,102
910,1,1,R,€ 155.000,25
911,1,3,2,€ 498.000,85
912,1,4,4,€ 379.000,110
913,1,3,4,€ 440.000,70
914,1,4,1,€ 420.000,115
915,3+,5+,2,€ 1.295.000,288
916,2,5+,4,€ 750.000,199
917,2,5,T,€ 460.000,130
918,2,4,3,€ 1.280.000,120
919,3,5+,2,€ 800.000,226
920,1,2,1,€ 690.000,70
921,1,2,2,€ 335.000,70
922,2,5,2,€ 440.000,120
923,1,3,2,€ 395.000,95
924,1,1,T,€ 109.000,45
925,3+,5+,,€ 535.000,270
926,2,5+,A,€ 730.000,180
927,1,3,T,€ 239.000,75
928,2,4,2,€ 249.000,115
929,3+,5+,2,€ 1.250.000,220
930,2,3,,€ 210.000,94
931,3,5+,1,€ 595.000,200
932,2,3,T,€ 298.000,85
933,3+,5+,,€ 699.000,234
934,2,4,1,€ 880.000,145
935,1,1,2,€ 149.000,49
936,1,4,A,€ 550.000,100
937,3,5+,A,€ 1.680.000,249
938,2,5+,,€ 465.000,160
939,3+,5+,,€ 385.000,200
940,1,2,2,€ 740.000,90
941,1,3,5,€ 275.000,82
942,1,3,1,€ 235.900,81
943,1,2,T,€ 330.000,50
944,2,4,5,€ 545.000,127
945,3+,5+,T,,430
946,2,4,5,€ 275.000,99
947,2,4,9,€ 295.000,128
948,2,5+,5,€ 525.000,170
949,2,5,2,€ 590.000,164
950,3,5+,2,€ 750.000,154
951,2,3,5,€ 420.000,90
952,1,2,A,€ 350.000,99
953,1,2,3,€ 219.000,61
954,2,5,3,€ 480.000,135
955,2,4,2,€ 1.150.000,115
956,1,1,11+,€ 317.000,60
957,1,2,11+,€ 395.000,88
958,2,3,11+,€ 966.000,191
959,2,3,6,€ 488.000,130
960,2,3,2,€ 420.000,90
961,3,5+,5,€ 759.000,160
962,2,4,4,€ 479.000,110
963,,5+,,€ 2.400.000,825
964,3,5+,,€ 685.000,250
965,3+,5+,,€ 630.000,330
966,1,2,A,€ 262.500,73
967,1,2,T,€ 260.000,50
968,2,5,4,€ 670.000,180
969,2,3,T,€ 480.000,90
970,3,5+,A,€ 2.280.000,290
971,1,4,5,€ 630.000,151
972,3,4,2,€ 519.000,140
973,1,2,1,€ 164.000,60
974,2,3,A,€ 129.000,79
975,2,4,3,€ 459.000,147
976,1,1,11+,€ 307.000,60
977,,,T,€ 295.000,120
978,3+,5,2,€ 749.000,190
979,3,5+,A,€ 1.350.000,229
980,3,5,,,170
981,1,2,1,€ 159.000,45
982,1,2,8,€ 330.000,56
983,2,5+,R,€ 870.000,200
984,3+,5+,,,350
985,2,4,4,€ 280.000,120
986,1,4,3,€ 230.000,100
987,1,2,6,€ 190.000,67
988,1,2,1,€ 180.000,50
989,1,5+,2,€ 440.000,110
990,1,3,6,€ 239.000,70
991,1,3,R,€ 249.000,100
992,2,5+,T,€ 380.000,140
993,,2-5,,€ 106.000,49
994,1,3,1,€ 350.000,100
995,1,3,R,€ 155.000,65
996,1,4,3,€ 260.000,111
997,1,3,A,€ 930.000,95
998,1,3,4,€ 600.000,120
999,2,4,1,€ 489.000,139
1000,1,3,4,€ 230.000,78
1001,1,4,5,€ 920.000,204
1002,2,5+,4,€ 799.000,135
1003,2,5+,4,€ 950.000,190
1004,1,3,,€ 595.000,78
1005,2,5+,2,€ 550.000,155
1006,2,5,2,€ 450.000,127
1007,1,2,6,€ 395.000,75
1008,,,T,€ 129.000,45
1009,1,4,2,€ 228.000,95
1010,1,4,R,€ 530.000,125
1011,3+,5+,A,€ 3.500.000,389
1012,,,,€ 495.000,170
1013,,2,3,€ 325.000,70
1014,1,3,,€ 390.000,100
1015,3,5+,,€ 410.000,245
1016,2,4,4,€ 225.000,100
1017,2,4,3,€ 1.200.000,170
1018,2,5+,A,€ 1.090.000,200
1019,3,5+,2,€ 950.000,220
1020,2,4,2,€ 630.000,160
1021,1,3,,€ 199.000,93
1022,1,3,,€ 183.500,93
1023,1,3,,€ 197.000,100
1024,1,3,,€ 195.000,95
1025,1,2,,€ 403.000,62
1026,3+,,,€ 780.000,365
1027,1,3,4,€ 295.000,79
1028,2,3,,€ 422.000,99
1029,,,,€ 330.000,50
1030,2,5,,€ 557.000,141
1031,2,3,3,€ 558.000,93
1032,2,3,T,€ 189.000,80
1033,2,3,4,€ 565.000,90
1034,1,3,T,€ 155.000,60
1035,1,3,1,€ 195.000,87
1036,1,2,A,€ 410.000,45
1037,1,3,1,€ 165.000,75
1038,1,2,1,€ 229.000,67
1039,1,2,T,€ 239.000,80
1040,2,3,1,€ 129.000,115
1041,2,3,R,€ 359.000,138
1042,2,2,1,€ 176.000,42
1043,2,4,A,€ 1.280.000,135
1044,2,4,2,€ 1.090.000,140
1045,1,3,T,€ 262.000,71
1046,1,5,A,€ 370.000,104
1047,2,3,3,€ 150.000,70
1048,1,2,3,€ 135.000,62
1049,2,4,T,€ 248.000,90
1050,1,3,1,€ 179.000,75
1051,2,4,2,€ 439.000,140
1052,2,4,6,€ 410.000,124
1053,1,2,T,€ 234.000,53
1054,2,5+,A,€ 629.000,190
1055,2,4,1,€ 695.000,136
1056,2,3,5,€ 179.000,85
1057,3+,5+,,€ 465.000,200
1058,1,3,4,€ 270.000,121
1059,3,5+,2,€ 860.000,200
1060,2,3,2,€ 275.000,108
1061,2,5,5,€ 325.000,145
1062,2,4,T,€ 375.000,116
1063,2,3,3,€ 365.000,90
1064,2,5,1,€ 485.000,140
1065,1,2,T,€ 180.000,41
1066,1,2,2,€ 166.000,76
1067,2,4,4,€ 365.000,134
1068,2,3,T,€ 295.000,100
1069,1,2,1,€ 371.000,60
1070,2,5+,2,€ 590.000,170
1071,2,5+,S,€ 1.750.000,1.800
1072,2,5+,1,€ 450.000,150
1073,1,4,3,€ 265.000,126
1074,2,4,6,€ 249.000,120
1075,1,2,1,€ 185.000,80
1076,1,3,1,€ 280.000,88
1077,1,3,,€ 590.000,100
1078,1,4,1,€ 249.000,105
1079,3,5+,2,€ 590.000,160
1080,3,5+,5,€ 1.330.000,216
1081,3+,5+,,€ 1.800.000,700
1082,2,5+,T,€ 569.000,200
1083,3,5+,,€ 2.600.000,250
1084,2,3,1,€ 155.000,90
1085,1,2,T,€ 169.000,72
1086,2,5,2,€ 440.000,140
1087,2,3,T,€ 280.000,80
1088,3,5+,,€ 875.000,216
1089,1,3,1,€ 210.000,80
1090,1,2,6,€ 225.000,72
1091,,5+,,€ 540.000,219
1092,2,5,R,€ 565.000,150
1093,3+,5+,1,€ 699.000,210
1094,1,2,2,€ 155.000,65
1095,3,4,A,€ 590.000,160
1096,1,2,T,€ 125.000,40
1097,1,2,1,€ 154.000,56
1098,2,3,T,€ 365.000,118
1099,2,4,3,€ 390.000,119
1100,3,4,A,€ 520.000,120
1101,2,2,2,€ 239.000,78
1102,3,5+,3,€ 649.000,160
1103,3+,5,,€ 695.000,330
1104,2,3,5,€ 795.000,150
1105,2,4,1,€ 780.000,140
1106,1,2,R,€ 195.000,60
1107,3,4,A,€ 385.000,160
1108,2,5+,,€ 159.000,130
1109,2,3,R,€ 340.000,140
1110,1,3,6,€ 272.000,85
1111,2,3,4,€ 235.000,100
1112,1,3,4,€ 219.000,90
1113,1,3,4,€ 239.000,115
1114,3+,5+,,€ 1.400.000,950
1115,1,3,1,€ 189.000,70
1116,3,5,1,€ 1.700.000,225
1117,2,4,T,€ 239.000,85
1118,1,1,1,€ 128.000,50
1119,1,3,2,€ 365.000,88
1120,2,5,2,€ 235.000,130
1121,1,4,4,€ 465.000,105
1122,3+,5+,,€ 790.000,261
1123,2,3,8,€ 335.000,100
1124,1,4,1,€ 510.000,110
1125,,2-4,,€ 240.000,90
1126,2,3,T,€ 259.000,72
1127,,4,,€ 230.000,89
1128,2,3,T,€ 285.000,94
1129,1,2,A,€ 215.000,70
1130,1,4,,€ 590.000,227
1131,1,3,2,€ 195.000,73
1132,2,5,2,€ 1.649.000,240
1133,2,3,A,€ 315.000,75
1134,1,3,3,€ 340.000,93
1135,2,5,4,€ 640.000,160
1136,1,3,1,€ 249.000,65
1137,1,1,6,€ 320.000,30
1138,2,3,2,€ 615.000,96
1139,1,3,2,€ 210.000,70
1140,1,3,1,€ 189.000,65
1141,3,4,T,€ 765.000,110
1142,1,2,1,€ 149.000,55
1143,1,1,2,€ 210.000,43
1144,1,2,3,€ 135.000,55
1145,1,1,1,€ 105.000,34
1146,3,4,4,€ 1.350.000,140
1147,3,5+,,€ 395.000,240
1148,3,5+,2,€ 790.000,170
1149,1,4,A,€ 419.000,135
1150,2,5+,4,€ 690.000,130
1151,2,5,3,€ 780.000,180
1152,2,3,1,€ 395.000,96
1153,,1-4,,€ 170.000,50
1154,2,3,3,€ 850.000,140
1155,1,3,3,€ 230.000,76
1156,1,3,,€ 500.000,85
1157,1,3,2,€ 395.000,110
1158,3,5,4,€ 495.000,155
1159,2,4,,€ 305.000,130
1160,1,2,A,€ 345.000,84
1161,1,2,2,€ 160.000,60
1162,2,5,4,€ 495.000,151
1163,3,5+,R,€ 1.190.000,270
1164,1,3,2,€ 179.000,90
1165,2,3,,€ 258.000,119
1166,2,3,1,€ 495.000,124
1167,1,2,A,€ 195.000,64
1168,,2-4,,€ 158.000,57
1169,2,4,,€ 189.000,160
1170,3,5+,,€ 1.790.000,235
1171,1,3,5,€ 348.000,120
1172,2,3,3,€ 370.000,120
1173,2,4,2,€ 530.000,150
1174,1,3,2,€ 149.000,80
1175,3,5+,2,€ 1.490.000,304
1176,1,1,2,€ 128.000,35
1177,1,3,2,€ 419.000,80
1178,3+,4,,€ 439.000,270
1179,2,3,3,€ 495.000,120
1180,1,2,T,€ 250.000,65
1181,3+,5+,3,€ 1.390.000,403
1182,2,5,T,€ 595.000,159
1183,1,3,2,€ 390.000,120
1184,3,5+,2,€ 1.030.000,228
1185,1,1,1,€ 105.000,50
1186,2,3,2,€ 399.000,100
1187,1,3,A,€ 230.000,90
1188,1,3,,€ 225.000,97
1189,1,3,,€ 189.000,70
1190,,3,,€ 300.000,65
1191,1,3,2,€ 259.000,87
1192,2,4,T,€ 295.000,116
1193,2,5,A,€ 780.000,135
1194,,3-4,,€ 270.000,72
1195,1,2,4,€ 210.000,65
1196,1,2,2,€ 216.000,78
1197,3,4,6,€ 695.000,155
1198,2,3,T,€ 215.000,73
1199,2,4,1,€ 450.000,120
1200,2,5+,2,€ 890.000,160
1201,2,3,1,€ 345.000,100
1202,2,5,3,€ 840.000,155
1203,3,5+,,€ 495.000,330
1204,3,5,,€ 329.000,150
1205,,2-3,,€ 153.000,38
1206,2,4,A,€ 358.000,120
1207,1,4,1,€ 520.000,100
1208,,,S,€ 49.000,31
1209,2,3,1,€ 228.000,72
1210,1,2,11+,€ 454.000,93
1211,1,3,1,€ 185.000,75
1212,1,3,2,€ 169.000,80
1213,2,5,2,€ 450.000,130
1214,1,3,,€ 279.000,170
1215,1,3,3,€ 240.000,87
1216,3,5,,€ 379.000,200
1217,2,5+,,€ 690.000,200
1218,2,5+,2,€ 595.000,177
1219,1,3,1,€ 388.000,80
1220,2,3,T,€ 289.000,84
1221,1,2,4,€ 450.000,51
1222,2,5+,5,€ 1.090.000,210
1223,1,2,T,€ 360.000,47
1224,1,4,1,€ 175.000,84
1225,1,2,T,€ 360.000,47
1226,1,3,T,€ 550.000,103
1227,,4-5+,,€ 185.000,130
1228,2,4,1,€ 219.000,90
1229,3,5+,,€ 3.200.000,400
1230,1,3,R,€ 257.000,87
1231,3,5,,€ 930.000,172
1232,1,2,1,€ 230.000,35
1233,1,3,1,€ 250.000,70
1234,2,5,R,€ 290.000,160
1235,2,4,R,€ 169.000,115
1236,1,2,4,€ 374.000,53
1237,2,3,T,€ 395.000,100
1238,1,5,A,€ 429.000,70
1239,1,3,3,€ 280.000,70
1240,1,3,1,€ 270.000,92
1241,1,3,R,€ 128.000,50
1242,1,3,6,€ 484.000,90
1243,1,2,1,€ 260.000,65
1244,1,3,2,€ 429.000,88
1245,1,4,1,€ 239.000,92
1246,2,5+,R,€ 2.150.000,271
1247,1,3,1,€ 240.000,80
1248,2,4,2,€ 520.000,120
1249,2,4,4,€ 399.000,130
1250,2,5,4,€ 695.000,163
1251,2,5,5,€ 690.000,155
1252,2,4,A,€ 1.750.000,220
1253,2,4,R,€ 490.000,100
1254,2,4,1,€ 345.000,95
1255,3,5,2,€ 765.000,172
1256,1,2,1,€ 150.000,65
1257,1,5,3,€ 439.000,108
1258,1,3,1,€ 235.000,100
1259,1,3,T,€ 135.000,82
1260,1,2,3,€ 165.000,70
1261,1,5,A,€ 660.000,135
1262,1,2,1,€ 190.000,53
1263,,2-3,,€ 145.400,46
1264,1,2,T,€ 165.000,50
1265,2,3,2,€ 239.000,100
1266,3,5+,,€ 365.000,180
1267,1,3,6,€ 320.000,125
1268,2,4,6,€ 499.000,130
1269,,5+,,€ 179.000,68
1270,1,3,1,€ 210.000,70
1271,3+,5+,,€ 859.000,400
1272,1,3,5,€ 210.000,90
1273,1,4,5,€ 285.000,132
1274,2,3,1,€ 340.000,82
1275,2,4,2,€ 250.000,85
1276,1,3,2,€ 119.000,60
1277,,,4,€ 239.000,120
1278,2,5+,,€ 495.000,180
1279,2,3,2,€ 600.000,150
1280,1,2,1,€ 550.000,80
1281,2,3,,€ 248.000,131
1282,1,2,1,€ 138.000,50
1283,2,3,,€ 189.000,123
1284,2,3,,€ 189.000,123
1285,2,3,,€ 215.000,128
1286,2,3,,€ 215.000,128
1287,3,5+,2,€ 1.180.000,275
1288,1,2,T,€ 199.000,45
1289,2,5+,1,€ 750.000,191
1290,1,4,T,€ 160.000,94
1291,2,5+,1,€ 1.300.000,200
1292,1,2,T,€ 64.000,33
1293,2,3,1,€ 435.000,106
1294,2,5,1,€ 320.000,145
1295,2,4,3,€ 360.000,115
1296,2,5+,1,€ 570.000,140
1297,3,5+,1,€ 980.000,180
1298,3,5,,€ 550.000,150
1299,2,4,2,€ 325.000,100
1300,3,4,1,€ 520.000,133
1301,1,3,1,€ 220.000,75
1302,2,3,T,€ 460.000,87
1303,2,3,3,€ 315.000,80
1304,3,5,1,€ 388.000,150
1305,2,4,1,€ 290.000,80
1306,3+,5+,,€ 1.450.000,340
1307,2,5,T,€ 525.000,150
1308,2,5,1,€ 510.000,125
1309,2,5,5,€ 850.000,180
1310,3,5,1,€ 569.000,150
1311,1,2,6,€ 198.000,60
1312,1,3,2,€ 215.000,70
1313,1,2,2,€ 225.000,58
1314,1,3,7,€ 178.000,59
1315,1,3,2,€ 235.000,75
1316,3+,5+,4,€ 1.250.000,204
1317,1,3,T,€ 340.000,115
1318,1,2,A,€ 225.000,70
1319,1,3,2,€ 225.000,95
1320,2,5+,3,€ 560.000,160
1321,1,3,5,€ 540.000,108
1322,1,4,R,€ 164.000,85
1323,2,5+,1,€ 1.160.000,273
1324,1,3,1,€ 270.000,90
1325,1,3,3,€ 190.000,112
1326,1,3,4,€ 159.000,110
1327,3,5,,€ 405.000,200
1328,2,5+,,€ 289.000,120
1329,1,3,A,€ 410.000,85
1330,3,5+,,€ 410.000,270
1331,2,3,1,€ 450.000,100
1332,2,5,2,€ 650.000,140
1333,3+,5+,,€ 840.000,493
1334,3+,4,2,€ 1.850.000,247
1335,2,3,1,€ 490.000,92
1336,1,2,T,€ 298.000,47
1337,1,3,3,€ 360.000,110
1338,1,4,2,€ 399.000,100
1339,1,2,T,€ 380.000,50
1340,1,3,A,€ 415.000,70
1341,2,4,1,€ 289.000,125
1342,2,4,4,€ 289.000,112
1343,2,3,3,€ 236.000,87
1344,2,4,2,€ 195.000,80
1345,3+,5+,,€ 1.230.000,600
1346,1,2,R,€ 268.000,50
1347,1,2,1,€ 249.000,60
1348,2,3,,€ 379.000,100
1349,1,2,3,€ 135.000,63
1350,3,5,2,€ 635.000,217
1351,2,5,1,€ 355.000,140
1352,3,5+,,€ 375.000,350
1353,1,2,T,€ 140.000,40
1354,1,2,4,€ 209.000,65
1355,1,3,8,€ 299.000,90
1356,1,3,1,€ 275.000,104
1357,1,2,2,€ 209.000,50
1358,1,3,1,€ 155.000,80
1359,1,4,4,€ 795.000,115
1360,1,2,1,€ 119.800,40
1361,1,3,7,€ 420.000,110
1362,2,4,T,€ 179.000,70
1363,1,3,2,€ 435.000,90
1364,2,5,4,€ 545.000,153
1365,2,4,T,€ 350.000,160
1366,2,3,7,€ 335.000,97
1367,3,5+,,€ 450.000,464
1368,3+,5+,,€ 600.000,280
1369,2,4,4,€ 625.000,130
1370,1,2,R,€ 315.000,60
1371,1,3,1,€ 419.000,100
1372,2,5,3,€ 950.000,185
1373,1,3,2,€ 200.000,80
1374,1,3,1,€ 499.000,125
1375,1,2,2,€ 289.000,65
1376,1,2,3,€ 135.000,60
1377,2,4,2,€ 230.000,125
1378,3,5+,,€ 460.000,230
1379,1,3,5,€ 229.000,85
1380,2,4,8,€ 410.000,144
1381,3,5+,,€ 450.000,209
1382,1,3,2,€ 375.000,87
1383,3,5+,T,€ 337.000,160
1384,3,5+,,€ 380.000,220
1385,1,2,2,€ 210.000,80
1386,2,4,1,€ 215.000,87
1387,1,2,6,€ 189.000,70
1388,1,3,1,€ 240.000,95
1389,2,4,1,€ 275.000,140
1390,2,5+,T,€ 319.000,100
1391,2,3,3,€ 385.000,135
1392,1,2,1,€ 279.000,65
1393,3+,3,T,€ 234.000,85
1394,2,4,2,€ 159.000,115
1395,3,5+,,€ 205.000,277
1396,1,1,S,€ 145.000,56
1397,2,3,1,€ 299.000,100
1398,1,3,5,€ 420.000,63
1399,3,5+,A,€ 590.000,155
1400,3+,5+,,€ 1.250.000,600
1401,2,5,2,€ 455.000,140
1402,1,2,T,€ 279.000,65
1403,2,3,4,€ 319.000,115
1404,2,4,2,€ 895.000,147
1405,2,5,2,€ 575.000,128
1406,2,5,2,€ 495.000,180
1407,1,2,1,€ 145.000,50
1408,2,4,1,€ 600.000,140
1409,1,2,1,€ 208.000,52
1410,1,3,1,€ 185.000,80
1411,1,2,3,€ 279.000,64
1412,2,4,A,€ 159.000,100
1413,1,4,4,€ 399.000,120
1414,3+,3,2,€ 325.000,120
1415,3,5,,€ 560.000,200
1416,2,3,A,€ 331.000,84
1417,1,3,,€ 199.000,75
1418,1,3,1,€ 169.000,90
1419,1,2,2,€ 169.800,60
1420,1,3,4,€ 308.000,100
1421,2,5+,1,€ 465.000,175
1422,1,2,3,€ 199.000,65
1423,1,3,1,€ 319.000,85
1424,1,3,4,€ 394.000,105
1425,2,3,3,€ 780.000,120
1426,2,3,4,€ 645.000,118
1427,2,4,1,€ 380.000,127
1428,2,5+,4,€ 1.290.000,320
1429,1,3,3,€ 199.000,94
1430,1,3,1,€ 369.000,103
1431,3,5+,T,€ 795.000,175
1432,1,3,3,€ 390.000,111
1433,2,4,1,€ 345.000,107
1434,1,2,1,€ 150.000,50
1435,1,2,1,€ 159.000,50
1436,1,4,4,€ 148.000,100
1437,2,4,2,€ 385.000,116
1438,1,3,A,€ 289.000,102
1439,2,5+,1,€ 470.000,175
1440,1,2,3,€ 135.000,60
1441,2,3,4,€ 269.000,85
1442,3,3,A,€ 370.000,115
1443,3,5,3,€ 620.000,151
1444,1,3,3,€ 630.000,131
1445,1,3,R,€ 239.000,60
1446,1,3,4,€ 330.000,78
1447,1,2,A,€ 600.000,60
1448,2,4,4,€ 349.000,135
1449,1,3,T,€ 379.000,109
1450,3,4,4,€ 520.000,122
1451,2,3,,€ 220.000,90
1452,2,5,1,€ 560.000,161
1453,1,2,T,€ 238.000,60
1454,1,3,A,€ 289.000,82
1455,3,5+,11+,€ 810.000,215
1456,2,3,,€ 212.000,104
1457,3,4,,€ 370.000,160
1458,3,5+,A,€ 790.000,130
1459,1,2,2,€ 249.000,68
1460,1,2,T,€ 295.000,66
1461,3,5+,9,€ 450.000,190
1462,2,3,3,€ 349.000,80
1463,3,5,1,€ 575.000,173
1464,2,3,3,€ 370.000,80
1465,1,3,1,€ 159.000,81
1466,3,4,1,€ 329.000,100
1467,1,1,S,€ 149.000,30
1468,1,3,3,€ 285.000,110
1469,2,3,2,€ 219.000,104
1470,2,5,T,€ 569.000,150
1471,1,4,A,€ 309.000,110
1472,1,2,A,€ 120.000,43
1473,1,1,T,€ 125.000,40
1474,1,3,1,€ 415.000,115
1475,2,4,T,€ 349.000,150
1476,1,2,2,€ 129.000,61
1477,1,2,3,€ 310.000,65
1478,1,2,1,€ 285.000,60
1479,1,2,S,€ 79.000,47
1480,3,4,,€ 449.000,163
1481,2,3,A,€ 500.000,170
1482,2,3,A,€ 760.000,105
1483,3,5+,,€ 649.000,220
1484,1,1,R,€ 200.000,51
1485,1,3,T,€ 260.000,100
1486,1,3,4,€ 298.000,75
1487,1,1,1,€ 255.000,45
1488,2,4,1,€ 485.000,120
1489,1,3,T,€ 135.000,70
1490,2,4,3,€ 189.000,125
1491,2,3,6,€ 315.000,110
1492,2,3,T,€ 352.000,99
1493,1,2,1,€ 159.000,92
1494,1,2,T,€ 165.000,62
1495,1,2,1,€ 129.000,51
1496,1,3,5,€ 229.000,81
1497,2,4,8,€ 470.000,135
1498,1,3,T,€ 295.000,60
1499,2,3,2,€ 285.000,95
1500,2,3,R,€ 439.000,145
1501,1,2,,€ 545.000,77
1502,2,3,T,€ 340.000,95
1503,1,2,3,€ 218.000,55
1504,3,5+,,€ 259.000,105
1505,3+,5+,,€ 800.000,600
1506,1,3,1,€ 220.000,65
1507,1,5,1,€ 550.000,140
1508,3+,5,1,€ 790.000,165
1509,1,2,A,€ 158.000,50
1510,2,4,T,€ 387.000,92
1511,2,5,4,€ 299.000,110
1512,2,4,1,€ 650.000,98
1513,1,5,2,€ 695.000,130
1514,3,5,,€ 340.000,165
1515,3,5,,€ 295.000,150
1516,1,2,7,€ 355.000,60
1517,2,4,1,€ 189.000,75
1518,2,3,2,€ 299.000,85
1519,1,2,A,€ 209.000,71
1520,1,4,7,€ 275.000,100
1521,2,5,1,€ 390.000,150
1522,3,5,1,€ 315.000,160
1523,2,5,5,€ 670.000,159
1524,1,2,R,€ 250.000,65
1525,3,5,,€ 330.000,150
1526,1,3,A,€ 295.000,65
1527,2,5+,2,€ 639.000,180
1528,2,4,1,€ 498.000,110
1529,2,4,1,€ 599.000,110
1530,1,3,6,€ 310.000,90
1531,2,4,A,€ 550.000,131
1532,1,3,2,€ 295.000,80
1533,1,2,4,€ 275.000,68
1534,1,4,1,€ 365.000,110
1535,2,3,,€ 280.000,100
1536,1,5,T,€ 535.000,120
1537,1,3,3,€ 299.000,95
1538,3,5+,,€ 450.000,190
1539,2,5,5,€ 649.000,160
1540,1,3,A,€ 480.000,120
1541,2,3,,€ 380.000,75
1542,1,2,1,€ 165.000,55
1543,1,3,1,€ 175.000,90
1544,3,5,A,€ 465.000,100
1545,2,4,5,€ 479.000,140
1546,1,3,A,€ 385.000,75
1547,3,5+,A,€ 850.000,175
1548,2,3,3,€ 285.000,114
1549,1,3,3,€ 149.000,70
1550,1,2,4,€ 260.000,52
1551,1,4,4,€ 349.000,104
1552,1,3,2,€ 269.000,95
1553,2,5,3,€ 299.000,118
1554,1,3,A,€ 750.000,90
1555,1,2,3,€ 160.000,63
1556,3,5+,,€ 690.000,240
1557,1,2,3,€ 149.000,55
1558,2,3,1,€ 330.000,93
1559,1,3,A,€ 225.000,75
1560,2,3,1,€ 520.000,110
1561,1,3,1,€ 295.000,70
1562,2,4,T,€ 489.000,100
1563,2,5,2,€ 598.000,183
1564,1,3,1,€ 249.000,70
1565,1,2,A,€ 175.000,50
1566,1,3,1,€ 199.000,80
1567,1,3,7,€ 249.000,95
1568,1,3,3,€ 229.000,80
1569,1,2,,€ 140.000,30
1570,2,3,A,€ 495.000,110
1571,2,3,R,€ 278.000,80
1572,3+,5+,,€ 410.000,250
1573,2,3,2,€ 620.000,180
1574,2,3,T,€ 390.000,96
1575,1,2,T,€ 219.000,70
1576,1,2,1,€ 185.000,50
